<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
939.HK,5,20210816,033000,5.64,5.67,5.63,5.65,8339281,0
939.HK,5,20210816,033500,5.65,5.65,5.61,5.63,4050350,0
939.HK,5,20210816,034000,5.63,5.64,5.62,5.64,2898000,0
939.HK,5,20210816,034500,5.64,5.66,5.62,5.66,5474000,0
939.HK,5,20210816,035000,5.66,5.66,5.64,5.65,3629000,0
939.HK,5,20210816,035500,5.65,5.66,5.64,5.65,2658950,0
939.HK,5,20210816,040000,5.65,5.65,5.63,5.63,8413500,0
939.HK,5,20210816,040500,5.63,5.66,5.63,5.64,12695000,0
939.HK,5,20210816,041000,5.64,5.65,5.64,5.64,2044180,0
939.HK,5,20210816,041500,5.64,5.65,5.64,5.64,2621000,0
939.HK,5,20210816,042000,5.64,5.65,5.63,5.63,1735000,0
939.HK,5,20210816,042500,5.63,5.64,5.62,5.63,5249000,0
939.HK,5,20210816,043000,5.63,5.64,5.63,5.63,438072,0
939.HK,5,20210816,043500,5.63,5.64,5.63,5.63,1206983,0
939.HK,5,20210816,044000,5.63,5.65,5.63,5.65,3096834,0
939.HK,5,20210816,044500,5.65,5.66,5.65,5.65,1878000,0
939.HK,5,20210816,045000,5.65,5.66,5.64,5.65,4988000,0
939.HK,5,20210816,045500,5.65,5.65,5.64,5.65,1970350,0
939.HK,5,20210816,050000,5.65,5.65,5.63,5.65,4134000,0
939.HK,5,20210816,050500,5.65,5.65,5.64,5.64,1217000,0
939.HK,5,20210816,051000,5.64,5.65,5.63,5.63,3803000,0
939.HK,5,20210816,051500,5.63,5.64,5.63,5.63,1745000,0
939.HK,5,20210816,052000,5.63,5.64,5.63,5.63,1352000,0
939.HK,5,20210816,052500,5.63,5.64,5.63,5.63,1406000,0
939.HK,5,20210816,053000,5.63,5.64,5.63,5.63,1591000,0
939.HK,5,20210816,053500,5.63,5.64,5.62,5.62,2897121,0
939.HK,5,20210816,054000,5.62,5.63,5.62,5.62,1245000,0
939.HK,5,20210816,054500,5.62,5.63,5.62,5.62,1163000,0
939.HK,5,20210816,055000,5.62,5.63,5.62,5.63,1105248,0
939.HK,5,20210816,055500,5.63,5.64,5.63,5.63,462000,0
