<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
2628.HK,5,20210816,033000,13.04,13.1,13,13.06,603000,0
2628.HK,5,20210816,033500,13.06,13.08,13,13.06,664560,0
2628.HK,5,20210816,034000,13.06,13.14,13.06,13.12,646155,0
2628.HK,5,20210816,034500,13.12,13.16,13.1,13.14,522000,0
2628.HK,5,20210816,035000,13.14,13.16,13.14,13.14,440000,0
2628.HK,5,20210816,035500,13.14,13.18,13.14,13.18,561000,0
2628.HK,5,20210816,040000,13.18,13.18,13.12,13.16,254000,0
2628.HK,5,20210816,040500,13.16,13.18,13.14,13.16,497000,0
2628.HK,5,20210816,041000,13.16,13.18,13.14,13.14,382500,0
2628.HK,5,20210816,041500,13.14,13.16,13.14,13.16,558000,0
2628.HK,5,20210816,042000,13.16,13.16,13.12,13.14,289000,0
2628.HK,5,20210816,042500,13.14,13.14,13.08,13.08,245000,0
2628.HK,5,20210816,043000,13.08,13.1,13.08,13.08,77000,0
2628.HK,5,20210816,043500,13.08,13.12,13.08,13.1,429000,0
2628.HK,5,20210816,044000,13.1,13.14,13.08,13.12,331000,0
2628.HK,5,20210816,044500,13.12,13.18,13.12,13.16,574000,0
2628.HK,5,20210816,045000,13.16,13.18,13.16,13.16,96000,0
2628.HK,5,20210816,045500,13.16,13.2,13.16,13.18,307000,0
2628.HK,5,20210816,050000,13.18,13.2,13.16,13.18,106000,0
2628.HK,5,20210816,050500,13.18,13.18,13.16,13.16,202000,0
2628.HK,5,20210816,051000,13.16,13.16,13.14,13.14,105000,0
2628.HK,5,20210816,051500,13.14,13.14,13.1,13.1,466000,0
2628.HK,5,20210816,052000,13.1,13.14,13.1,13.14,215664,0
2628.HK,5,20210816,052500,13.14,13.16,13.14,13.16,273480,0
2628.HK,5,20210816,053000,13.16,13.18,13.14,13.14,27000,0
2628.HK,5,20210816,053500,13.14,13.14,13.12,13.14,211226,0
2628.HK,5,20210816,054000,13.14,13.16,13.12,13.14,181000,0
2628.HK,5,20210816,054500,13.14,13.18,13.14,13.18,358427,0
2628.HK,5,20210816,055000,13.18,13.18,13.14,13.14,49000,0
2628.HK,5,20210816,055500,13.14,13.16,13.14,13.14,153000,0
2628.HK,5,20210816,070000,13.14,13.18,13.14,13.16,212000,0
