<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
992.HK,5,20210816,033000,7.94,7.99,7.87,7.92,2107995,0
992.HK,5,20210816,033500,7.92,7.92,7.86,7.9,1514000,0
992.HK,5,20210816,034000,7.9,8.01,7.89,8,1073760,0
992.HK,5,20210816,034500,8,8.04,7.98,8.04,382000,0
992.HK,5,20210816,035000,8.04,8.05,7.98,8.02,1712000,0
992.HK,5,20210816,035500,8.02,8.12,8.01,8.07,1274000,0
992.HK,5,20210816,040000,8.07,8.1,8.05,8.1,988000,0
992.HK,5,20210816,040500,8.1,8.1,8.07,8.1,1233664,0
992.HK,5,20210816,041000,8.1,8.15,8.09,8.14,1306000,0
992.HK,5,20210816,041500,8.14,8.14,8.07,8.08,1354000,0
992.HK,5,20210816,042000,8.08,8.1,8.06,8.1,1042000,0
992.HK,5,20210816,042500,8.1,8.12,8.1,8.11,612000,0
992.HK,5,20210816,043000,8.11,8.12,8.08,8.1,616000,0
992.HK,5,20210816,043500,8.1,8.12,8.08,8.11,819090,0
992.HK,5,20210816,044000,8.11,8.14,8.1,8.11,840000,0
992.HK,5,20210816,044500,8.11,8.13,8.09,8.12,684000,0
992.HK,5,20210816,045000,8.12,8.12,8.09,8.11,402000,0
992.HK,5,20210816,045500,8.11,8.12,8.1,8.11,618102,0
992.HK,5,20210816,050000,8.11,8.13,8.11,8.11,832000,0
992.HK,5,20210816,050500,8.11,8.12,8.09,8.1,996000,0
992.HK,5,20210816,051000,8.1,8.11,8.09,8.1,1024000,0
992.HK,5,20210816,051500,8.1,8.13,8.1,8.13,418000,0
992.HK,5,20210816,052000,8.13,8.14,8.12,8.14,496000,0
992.HK,5,20210816,052500,8.14,8.15,8.14,8.15,677602,0
992.HK,5,20210816,053000,8.15,8.15,8.14,8.15,493992,0
992.HK,5,20210816,053500,8.15,8.17,8.14,8.14,1472000,0
992.HK,5,20210816,054000,8.14,8.16,8.13,8.13,934000,0
992.HK,5,20210816,054500,8.13,8.16,8.13,8.16,355162,0
992.HK,5,20210816,055000,8.16,8.16,8.15,8.15,536000,0
992.HK,5,20210816,055500,8.15,8.16,8.15,8.16,454000,0
992.HK,5,20210816,070000,8.16,8.16,8.13,8.14,848000,0
992.HK,5,20210816,070500,8.14,8.16,8.13,8.16,940000,0
992.HK,5,20210816,071000,8.16,8.22,8.15,8.2,2144486,0
992.HK,5,20210816,071500,8.2,8.2,8.17,8.17,498000,0
992.HK,5,20210816,072000,8.17,8.19,8.17,8.19,574000,0
992.HK,5,20210816,072500,8.19,8.2,8.18,8.19,518000,0
992.HK,5,20210816,073000,8.19,8.2,8.17,8.19,1756000,0
992.HK,5,20210816,073500,8.19,8.22,8.19,8.22,938000,0
992.HK,5,20210816,074000,8.22,8.24,8.21,8.23,1122000,0
992.HK,5,20210816,074500,8.23,8.26,8.22,8.22,1791565,0
992.HK,5,20210816,075000,8.22,8.26,8.22,8.26,766000,0
992.HK,5,20210816,075500,8.26,8.26,8.22,8.22,1142000,0
992.HK,5,20210816,080000,8.22,8.23,8.22,8.23,240000,0
992.HK,5,20210816,080500,8.23,8.23,8.2,8.22,978000,0
992.HK,5,20210816,081000,8.22,8.22,8.19,8.21,758070,0
992.HK,5,20210816,081500,8.21,8.23,8.2,8.22,302000,0
992.HK,5,20210816,082000,8.22,8.25,8.22,8.22,1345700,0
992.HK,5,20210816,082500,8.22,8.24,8.22,8.23,1054000,0
992.HK,5,20210816,083000,8.23,8.25,8.23,8.25,770000,0
992.HK,5,20210816,083500,8.25,8.25,8.24,8.25,212000,0
992.HK,5,20210816,084000,8.25,8.25,8.23,8.23,1068000,0
992.HK,5,20210816,084500,8.23,8.24,8.23,8.24,202000,0
992.HK,5,20210816,085000,8.24,8.24,8.2,8.2,1342000,0
992.HK,5,20210816,085500,8.2,8.23,8.2,8.23,337405,0
992.HK,5,20210816,090000,8.23,8.23,8.22,8.23,310100,0
992.HK,5,20210816,090500,8.23,8.24,8.22,8.24,758256,0
992.HK,5,20210816,091000,8.24,8.25,8.24,8.25,590811,0
992.HK,5,20210816,091500,8.25,8.25,8.24,8.24,1714000,0
992.HK,5,20210816,092000,8.24,8.26,8.23,8.26,1074733,0
992.HK,5,20210816,092500,8.26,8.26,8.25,8.26,377723,0
992.HK,5,20210816,093000,8.26,8.28,8.24,8.25,3252000,0
992.HK,5,20210816,093500,8.25,8.25,8.22,8.23,2388000,0
992.HK,5,20210816,094000,8.23,8.27,8.22,8.27,1614000,0
992.HK,5,20210816,094500,8.27,8.27,8.25,8.25,1174000,0
992.HK,5,20210816,095000,8.25,8.26,8.25,8.26,1404000,0
992.HK,5,20210816,095500,8.26,8.26,8.21,8.22,6766000,0
992.HK,5,20210817,033000,8.23,8.34,8.22,8.29,1584954,0
992.HK,5,20210817,033500,8.29,8.36,8.27,8.35,2240000,0
992.HK,5,20210817,034000,8.35,8.44,8.33,8.42,2208000,0
992.HK,5,20210817,034500,8.42,8.43,8.38,8.41,1135123,0
992.HK,5,20210817,035000,8.41,8.41,8.31,8.36,1484000,0
992.HK,5,20210817,035500,8.36,8.39,8.34,8.39,1028000,0
992.HK,5,20210817,040000,8.39,8.41,8.36,8.4,984000,0
992.HK,5,20210817,040500,8.4,8.4,8.35,8.35,494908,0
992.HK,5,20210817,041000,8.35,8.36,8.34,8.34,308026,0
992.HK,5,20210817,041500,8.34,8.37,8.32,8.36,1721041,0
992.HK,5,20210817,042000,8.36,8.36,8.3,8.33,1050000,0
992.HK,5,20210817,042500,8.33,8.37,8.33,8.37,493703,0
992.HK,5,20210817,043000,8.37,8.38,8.37,8.38,228000,0
992.HK,5,20210817,043500,8.38,8.4,8.38,8.38,706000,0
992.HK,5,20210817,044000,8.38,8.4,8.37,8.39,594000,0
992.HK,5,20210817,044500,8.39,8.39,8.38,8.39,172000,0
992.HK,5,20210817,045000,8.39,8.39,8.37,8.39,528000,0
992.HK,5,20210817,045500,8.39,8.4,8.38,8.39,444000,0
992.HK,5,20210817,050000,8.39,8.41,8.37,8.41,1929152,0
992.HK,5,20210817,050500,8.41,8.42,8.4,8.42,2022000,0
992.HK,5,20210817,051000,8.42,8.42,8.4,8.41,362000,0
992.HK,5,20210817,051500,8.41,8.41,8.35,8.36,3174000,0
992.HK,5,20210817,052000,8.36,8.37,8.34,8.35,722924,0
992.HK,5,20210817,052500,8.35,8.36,8.33,8.34,1110000,0
992.HK,5,20210817,053000,8.34,8.36,8.33,8.33,647600,0
992.HK,5,20210817,053500,8.33,8.36,8.33,8.35,368000,0
992.HK,5,20210817,054000,8.35,8.36,8.34,8.35,626000,0
992.HK,5,20210817,054500,8.35,8.36,8.35,8.36,318000,0
992.HK,5,20210817,055000,8.36,8.36,8.35,8.36,266000,0
992.HK,5,20210817,055500,8.36,8.36,8.35,8.35,324000,0
992.HK,5,20210817,070000,8.35,8.36,8.34,8.35,1174000,0
992.HK,5,20210817,070500,8.35,8.35,8.29,8.29,1508000,0
992.HK,5,20210817,071000,8.29,8.29,8.25,8.25,1062000,0
992.HK,5,20210817,071500,8.25,8.28,8.23,8.26,952000,0
992.HK,5,20210817,072000,8.26,8.27,8.24,8.24,560000,0
992.HK,5,20210817,072500,8.24,8.25,8.23,8.24,760000,0
992.HK,5,20210817,073000,8.24,8.25,8.23,8.25,463496,0
992.HK,5,20210817,073500,8.25,8.27,8.25,8.26,788000,0
992.HK,5,20210817,074000,8.26,8.26,8.21,8.22,1172000,0
992.HK,5,20210817,074500,8.22,8.23,8.18,8.2,1550000,0
992.HK,5,20210817,075000,8.2,8.23,8.2,8.23,440000,0
992.HK,5,20210817,075500,8.23,8.23,8.2,8.2,654000,0
992.HK,5,20210817,080000,8.2,8.22,8.18,8.19,882000,0
992.HK,5,20210817,080500,8.19,8.23,8.19,8.23,756000,0
992.HK,5,20210817,081000,8.23,8.25,8.23,8.24,758000,0
992.HK,5,20210817,081500,8.24,8.24,8.22,8.24,718000,0
992.HK,5,20210817,082000,8.24,8.25,8.23,8.25,400000,0
992.HK,5,20210817,082500,8.25,8.25,8.24,8.25,558000,0
992.HK,5,20210817,083000,8.25,8.25,8.23,8.23,1284000,0
992.HK,5,20210817,083500,8.23,8.23,8.21,8.23,842000,0
992.HK,5,20210817,084000,8.23,8.23,8.22,8.23,456000,0
992.HK,5,20210817,084500,8.23,8.23,8.21,8.21,731000,0
992.HK,5,20210817,085000,8.21,8.24,8.21,8.24,612220,0
992.HK,5,20210817,085500,8.24,8.28,8.24,8.28,1859014,0
992.HK,5,20210817,090000,8.28,8.28,8.26,8.28,852000,0
992.HK,5,20210817,090500,8.28,8.3,8.26,8.27,1180504,0
992.HK,5,20210817,091000,8.27,8.27,8.23,8.23,1320000,0
992.HK,5,20210817,091500,8.23,8.23,8.2,8.22,1642303,0
992.HK,5,20210817,092000,8.22,8.22,8.18,8.18,1270000,0
992.HK,5,20210817,092500,8.18,8.22,8.17,8.2,1278225,0
992.HK,5,20210817,093000,8.2,8.21,8.18,8.21,703473,0
992.HK,5,20210817,093500,8.21,8.21,8.19,8.2,832000,0
992.HK,5,20210817,094000,8.2,8.21,8.19,8.21,1884000,0
992.HK,5,20210817,094500,8.21,8.21,8.2,8.21,1452000,0
992.HK,5,20210817,095000,8.21,8.21,8.19,8.19,3112000,0
992.HK,5,20210817,095500,8.19,8.2,8.14,8.17,8354000,0
992.HK,5,20210818,033000,8.17,8.28,8.15,8.24,1821480,0
992.HK,5,20210818,033500,8.24,8.29,8.2,8.28,2348000,0
992.HK,5,20210818,034000,8.28,8.3,8.26,8.28,708000,0
992.HK,5,20210818,034500,8.28,8.3,8.26,8.27,518000,0
992.HK,5,20210818,035000,8.27,8.28,8.22,8.23,926000,0
992.HK,5,20210818,035500,8.23,8.23,8.2,8.22,468000,0
992.HK,5,20210818,040000,8.22,8.25,8.21,8.25,518000,0
992.HK,5,20210818,040500,8.25,8.3,8.24,8.29,968000,0
992.HK,5,20210818,041000,8.29,8.32,8.28,8.3,3680000,0
992.HK,5,20210818,041500,8.3,8.3,8.24,8.28,1396360,0
992.HK,5,20210818,042000,8.28,8.29,8.25,8.27,218797,0
992.HK,5,20210818,042500,8.27,8.31,8.27,8.31,326000,0
992.HK,5,20210818,043000,8.31,8.32,8.27,8.27,676000,0
992.HK,5,20210818,043500,8.27,8.28,8.26,8.27,84000,0
992.HK,5,20210818,044000,8.27,8.27,8.26,8.27,224000,0
992.HK,5,20210818,044500,8.27,8.29,8.27,8.29,420000,0
992.HK,5,20210818,045000,8.29,8.31,8.27,8.3,638000,0
992.HK,5,20210818,045500,8.3,8.32,8.3,8.31,388000,0
992.HK,5,20210818,050000,8.31,8.32,8.3,8.32,290000,0
992.HK,5,20210818,050500,8.32,8.32,8.31,8.31,550000,0
992.HK,5,20210818,051000,8.31,8.35,8.31,8.34,548000,0
992.HK,5,20210818,051500,8.34,8.35,8.3,8.32,1110000,0
992.HK,5,20210818,052000,8.32,8.33,8.32,8.32,126000,0
992.HK,5,20210818,052500,8.32,8.33,8.32,8.33,118000,0
992.HK,5,20210818,053000,8.33,8.35,8.31,8.35,666000,0
992.HK,5,20210818,053500,8.35,8.35,8.34,8.35,514000,0
992.HK,5,20210818,054000,8.35,8.36,8.35,8.36,116000,0
