<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
941.HK,5,20210816,033000,51.95,52.6,51.95,52.4,2573735,0
941.HK,5,20210816,033500,52.4,52.6,52.4,52.55,1833000,0
941.HK,5,20210816,034000,52.55,52.9,52.5,52.9,1817238,0
941.HK,5,20210816,034500,52.9,52.9,52.8,52.9,1125686,0
941.HK,5,20210816,035000,52.9,52.95,52.75,52.8,1005321,0
941.HK,5,20210816,035500,52.8,52.9,52.8,52.85,1078680,0
941.HK,5,20210816,040000,52.85,52.9,52.75,52.8,1176150,0
941.HK,5,20210816,040500,52.8,52.85,52.6,52.6,1150792,0
941.HK,5,20210816,041000,52.6,52.65,52.2,52.2,930000,0
941.HK,5,20210816,041500,52.2,52.5,52.2,52.3,781536,0
941.HK,5,20210816,042000,52.3,52.45,52.3,52.45,552492,0
941.HK,5,20210816,042500,52.45,52.5,52.35,52.45,442500,0
941.HK,5,20210816,043000,52.45,52.5,52.4,52.5,511500,0
941.HK,5,20210816,043500,52.5,52.5,52.4,52.45,309500,0
941.HK,5,20210816,044000,52.45,52.5,52.4,52.45,430072,0
941.HK,5,20210816,044500,52.45,52.5,52.4,52.45,383500,0
941.HK,5,20210816,045000,52.45,52.5,52.4,52.45,481500,0
941.HK,5,20210816,045500,52.45,52.45,52.35,52.35,393500,0
941.HK,5,20210816,050000,52.35,52.4,52.35,52.4,513501,0
941.HK,5,20210816,050500,52.4,52.4,52.25,52.25,1412600,0
941.HK,5,20210816,051000,52.25,52.25,51.95,51.95,1152000,0
941.HK,5,20210816,051500,51.95,52,51.75,51.75,1959017,0
941.HK,5,20210816,052000,51.75,51.8,51.65,51.7,1271500,0
941.HK,5,20210816,052500,51.7,51.85,51.65,51.8,570700,0
941.HK,5,20210816,053000,51.8,51.95,51.75,51.9,795000,0
941.HK,5,20210816,053500,51.9,51.9,51.8,51.8,401000,0
941.HK,5,20210816,054000,51.8,51.85,51.75,51.75,576500,0
941.HK,5,20210816,054500,51.75,51.8,51.7,51.75,333000,0
941.HK,5,20210816,055000,51.75,51.8,51.7,51.8,392726,0
941.HK,5,20210816,055500,51.8,51.85,51.75,51.85,253500,0
941.HK,5,20210816,070000,51.85,51.9,51.75,51.8,545800,0
941.HK,5,20210816,070500,51.8,51.9,51.75,51.9,357625,0
941.HK,5,20210816,071000,51.9,51.95,51.85,51.9,319500,0
941.HK,5,20210816,071500,51.9,51.95,51.85,51.95,257500,0
941.HK,5,20210816,072000,51.95,52.05,51.95,52.05,483505,0
941.HK,5,20210816,072500,52.05,52.1,52,52.1,264002,0
941.HK,5,20210816,073000,52.1,52.1,51.95,51.95,417537,0
941.HK,5,20210816,073500,51.95,52,51.9,52,352500,0
941.HK,5,20210816,074000,52,52.05,51.9,51.95,679004,0
941.HK,5,20210816,074500,51.95,51.95,51.85,51.85,286000,0
941.HK,5,20210816,075000,51.85,52,51.85,51.95,269500,0
941.HK,5,20210816,075500,51.95,51.95,51.85,51.9,446000,0
941.HK,5,20210816,080000,51.9,51.9,51.8,51.9,515500,0
941.HK,5,20210816,080500,51.9,51.95,51.8,51.85,395000,0
941.HK,5,20210816,081000,51.85,51.85,51.75,51.85,413500,0
941.HK,5,20210816,081500,51.85,51.95,51.8,51.9,273000,0
941.HK,5,20210816,082000,51.9,51.9,51.85,51.9,214500,0
941.HK,5,20210816,082500,51.9,52,51.85,52,378658,0
941.HK,5,20210816,083000,52,52,51.9,51.95,369059,0
941.HK,5,20210816,083500,51.95,51.95,51.85,51.85,330000,0
941.HK,5,20210816,084000,51.85,51.9,51.85,51.85,244340,0
941.HK,5,20210816,084500,51.85,51.85,51.75,51.75,539700,0
941.HK,5,20210816,085000,51.75,51.85,51.7,51.85,589000,0
941.HK,5,20210816,085500,51.85,51.85,51.75,51.75,472500,0
941.HK,5,20210816,090000,51.75,51.85,51.75,51.8,469000,0
941.HK,5,20210816,090500,51.8,51.9,51.8,51.9,941000,0
941.HK,5,20210816,091000,51.9,51.95,51.85,51.9,446500,0
941.HK,5,20210816,091500,51.9,51.95,51.75,51.8,673000,0
941.HK,5,20210816,092000,51.8,51.85,51.75,51.75,413000,0
941.HK,5,20210816,092500,51.75,51.85,51.75,51.8,236000,0
941.HK,5,20210816,093000,51.8,51.85,51.75,51.85,583540,0
941.HK,5,20210816,093500,51.85,51.85,51.75,51.75,408500,0
941.HK,5,20210816,094000,51.75,51.9,51.75,51.85,494500,0
941.HK,5,20210816,094500,51.85,51.9,51.85,51.85,243000,0
941.HK,5,20210816,095000,51.85,51.9,51.85,51.9,373000,0
941.HK,5,20210816,095500,51.9,51.95,51.8,51.9,4622000,0
941.HK,5,20210817,033000,52,52.35,51.6,52.3,2741550,0
941.HK,5,20210817,033500,52.3,52.4,52.2,52.2,1634720,0
941.HK,5,20210817,034000,52.2,52.25,51.7,51.7,1454020,0
941.HK,5,20210817,034500,51.7,51.85,51.65,51.65,730500,0
941.HK,5,20210817,035000,51.65,51.8,51.65,51.65,491000,0
941.HK,5,20210817,035500,51.65,51.8,51.65,51.75,450000,0
