<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
700.HK,D,20060208,000000,1.9105,1.9105,1.9105,1.9105,32151016,0
700.HK,D,20060213,000000,1.9105,1.9105,1.9105,1.9105,14655071,0
700.HK,D,20060215,000000,1.9204,1.9204,1.9204,1.9204,6985718,0
700.HK,D,20060220,000000,2.1495,2.1495,2.1495,2.1495,29715257,0
700.HK,D,20060222,000000,2.1307,2.1307,2.1307,2.1307,3797962,0
700.HK,D,20060227,000000,1.9678,1.9678,1.9678,1.9678,8689738,0
700.HK,D,20060301,000000,2.0449,2.0449,2.0449,2.0449,19683573,0
700.HK,D,20060306,000000,1.9303,1.9303,1.9303,1.9303,11439463,0
700.HK,D,20060308,000000,1.8918,1.8918,1.8918,1.8918,18539121,0
700.HK,D,20060313,000000,1.9777,1.9777,1.9777,1.9777,9494907,0
700.HK,D,20060315,000000,2.0636,2.0636,2.0636,2.0636,23068824,0
700.HK,D,20060320,000000,2.1022,2.1022,2.1022,2.1022,11672404,0
700.HK,D,20060322,000000,1.959,1.959,1.959,1.959,39397530,0
700.HK,D,20060327,000000,2.2926,2.2926,2.2926,2.2926,13004224,0
700.HK,D,20060329,000000,2.5801,2.5801,2.5801,2.5801,32662477,0
700.HK,D,20060403,000000,2.4941,2.4941,2.4941,2.4941,31635147,0
700.HK,D,20060406,000000,2.5888,2.5888,2.5888,2.5888,25390643,0
700.HK,D,20060410,000000,2.8949,2.8949,2.8949,2.8949,28783491,0
700.HK,D,20060413,000000,2.6946,2.6946,2.6946,2.6946,16868016,0
700.HK,D,20060419,000000,2.8949,2.8949,2.8949,2.8949,30412766,0
700.HK,D,20060424,000000,2.7904,2.7904,2.7904,2.7904,7484518,0
700.HK,D,20060426,000000,2.7419,2.7419,2.7419,2.7419,8406156,0
700.HK,D,20060502,000000,2.971,2.971,2.971,2.971,26445566,0
700.HK,D,20060504,000000,2.9996,2.9996,2.9996,2.9996,4917095,0
700.HK,D,20060510,000000,3.0381,3.0381,3.0381,3.0381,27674486,0
700.HK,D,20060512,000000,2.9523,2.9523,2.9523,2.9523,22626235,0
700.HK,D,20060517,000000,2.8999,2.8999,2.8999,2.8999,15032082,0
700.HK,D,20060519,000000,2.8909,2.8909,2.8909,2.8909,32099871,0
700.HK,D,20060524,000000,2.7954,2.7954,2.7954,2.7954,6588198,0
700.HK,D,20060526,000000,3.3709,3.3709,3.3709,3.3709,34952606,0
700.HK,D,20060601,000000,3.4478,3.4478,3.4478,3.4478,34627795,0
700.HK,D,20060605,000000,3.3808,3.3808,3.3808,3.3808,10928003,0
700.HK,D,20060608,000000,3.0351,3.0351,3.0351,3.0351,34723504,0
700.HK,D,20060612,000000,3.3224,3.3224,3.3224,3.3224,21648386,0
700.HK,D,20060614,000000,2.8909,2.8909,2.8909,2.8909,33989231,0
700.HK,D,20060619,000000,3.0155,3.0155,3.0155,3.0155,6922420,0
700.HK,D,20060621,000000,2.9868,2.9868,2.9868,2.9868,11576188,0
700.HK,D,20060626,000000,2.9681,2.9681,2.9681,2.9681,5990652,0
700.HK,D,20060628,000000,2.8999,2.8999,2.8999,2.8999,9449331,0
700.HK,D,20060703,000000,3.0441,3.0441,3.0441,3.0441,8331595,0
700.HK,D,20060705,000000,3.0737,3.0737,3.0737,3.0737,7732650,0
700.HK,D,20060710,000000,2.7954,2.7954,2.7954,2.7954,91628773,0
700.HK,D,20060712,000000,2.8812,2.8812,2.8812,2.8812,22266187,0
700.HK,D,20060717,000000,2.8909,2.8909,2.8909,2.8909,9315136,0
700.HK,D,20060719,000000,2.8329,2.8329,2.8329,2.8329,13110566,0
700.HK,D,20060724,000000,2.8159,2.8159,2.8159,2.8159,25005784,0
700.HK,D,20060726,000000,2.8464,2.8464,2.8464,2.8464,7626815,0
700.HK,D,20060731,000000,2.8504,2.8504,2.8504,2.8504,11434399,0
700.HK,D,20060802,000000,3.0421,3.0421,3.0421,3.0421,50464790,0
700.HK,D,20060807,000000,3.127,3.127,3.127,3.127,8855912,0
700.HK,D,20060809,000000,3.1773,3.1773,3.1773,3.1773,4775481,0
700.HK,D,20060811,000000,3.1616,3.1616,3.1616,3.1616,6603389,0
700.HK,D,20060816,000000,3.3264,3.3264,3.3264,3.3264,17197174,0
700.HK,D,20060818,000000,3.3569,3.3569,3.3569,3.3569,14629751,0
700.HK,D,20060823,000000,3.2464,3.2464,3.2464,3.2464,19248275,0
700.HK,D,20060825,000000,3.2574,3.2574,3.2574,3.2574,22007926,0
700.HK,D,20060830,000000,3.2346,3.2346,3.2346,3.2346,14640410,0
700.HK,D,20060901,000000,3.2613,3.2613,3.2613,3.2613,33734768,0
700.HK,D,20060906,000000,3.4034,3.4034,3.4034,3.4034,12185767,0
700.HK,D,20060908,000000,3.4766,3.4766,3.4766,3.4766,9171365,0
700.HK,D,20060913,000000,3.596,3.596,3.596,3.596,23576417,0
700.HK,D,20060915,000000,3.5655,3.5655,3.5655,3.5655,13622026,0
700.HK,D,20060920,000000,3.5684,3.5684,3.5684,3.5684,12517679,0
700.HK,D,20060922,000000,3.5655,3.5655,3.5655,3.5655,10329444,0
700.HK,D,20060927,000000,3.5269,3.5269,3.5269,3.5269,13577776,0
700.HK,D,20060929,000000,3.4458,3.4458,3.4458,3.4458,23435043,0
700.HK,D,20061004,000000,3.3383,3.3383,3.3383,3.3383,5686815,0
700.HK,D,20061009,000000,3.4578,3.4578,3.4578,3.4578,6243850,0
700.HK,D,20061011,000000,3.4578,3.4578,3.4578,3.4578,13657473,0
700.HK,D,20061016,000000,3.4923,3.4923,3.4923,3.4923,13972081,0
700.HK,D,20061018,000000,3.5456,3.5456,3.5456,3.5456,3306759,0
700.HK,D,20061023,000000,3.4726,3.4726,3.4726,3.4726,12361101,0
700.HK,D,20061025,000000,3.4618,3.4618,3.4618,3.4618,5656559,0
700.HK,D,20061031,000000,3.5684,3.5684,3.5684,3.5684,24882731,0
700.HK,D,20061102,000000,3.8704,3.8704,3.8704,3.8704,32067832,0
700.HK,D,20061107,000000,3.9377,3.9377,3.9377,3.9377,10771021,0
700.HK,D,20061109,000000,4.2161,4.2161,4.2161,4.2161,14399585,0
700.HK,D,20061114,000000,4.1588,4.1588,4.1588,4.1588,4813801,0
700.HK,D,20061116,000000,4.149,4.149,4.149,4.149,7661756,0
700.HK,D,20061121,000000,4.533,4.533,4.533,4.533,24753817,0
700.HK,D,20061123,000000,4.4175,4.4175,4.4175,4.4175,42864107,0
700.HK,D,20061128,000000,4.0147,4.0147,4.0147,4.0147,28631222,0
700.HK,D,20061130,000000,4.1204,4.1204,4.1204,4.1204,18407459,0
700.HK,D,20061204,000000,4.1005,4.1005,4.1005,4.1005,11019155,0
700.HK,D,20061207,000000,4.3217,4.3217,4.3217,4.3217,14464414,0
700.HK,D,20061211,000000,4.2161,4.2161,4.2161,4.2161,17571905,0
700.HK,D,20061214,000000,4.3029,4.3029,4.3029,4.3029,12416805,0
700.HK,D,20061218,000000,4.4175,4.4175,4.4175,4.4175,12530693,0
700.HK,D,20061221,000000,4.7058,4.7058,4.7058,4.7058,19175896,0
700.HK,D,20061227,000000,4.9368,4.9368,4.9368,4.9368,29887877,0
700.HK,D,20070102,000000,5.2243,5.2243,5.2243,5.2243,5933607,0
700.HK,D,20070104,000000,5.5322,5.5322,5.5322,5.5322,53746230,0
700.HK,D,20070109,000000,5.1768,5.1768,5.1768,5.1768,20133444,0
700.HK,D,20070111,000000,5.1858,5.1858,5.1858,5.1858,14363180,0
700.HK,D,20070116,000000,5.6468,5.6468,5.6468,5.6468,21405568,0
700.HK,D,20070118,000000,5.8196,5.8196,5.8196,5.8196,27267374,0
700.HK,D,20070123,000000,5.858,5.858,5.858,5.858,15250267,0
700.HK,D,20070125,000000,6.1079,6.1079,6.1079,6.1079,11578428,0
700.HK,D,20070130,000000,5.9351,5.9351,5.9351,5.9351,11469845,0
700.HK,D,20070201,000000,5.5609,5.5609,5.5609,5.5609,7651774,0
700.HK,D,20070205,000000,5.7909,5.7909,5.7909,5.7909,14438759,0
700.HK,D,20070208,000000,5.6468,5.6468,5.6468,5.6468,9822291,0
700.HK,D,20070212,000000,5.7623,5.7623,5.7623,5.7623,2713316,0
700.HK,D,20070215,000000,5.5609,5.5609,5.5609,5.5609,14629877,0
700.HK,D,20070221,000000,5.5224,5.5224,5.5224,5.5224,10906229,0
700.HK,D,20070226,000000,5.1569,5.1569,5.1569,5.1569,31592085,0
700.HK,D,20070228,000000,5.1569,5.1569,5.1569,5.1569,26081910,0
700.HK,D,20070305,000000,4.85,4.85,4.85,4.85,13110566,0
700.HK,D,20070307,000000,5.1185,5.1185,5.1185,5.1185,14499355,0
700.HK,D,20070312,000000,5.6182,5.6182,5.6182,5.6182,4972293,0
700.HK,D,20070314,000000,5.2341,5.2341,5.2341,5.2341,6502111,0
700.HK,D,20070319,000000,5.7138,5.7138,5.7138,5.7138,10677085,0
700.HK,D,20070321,000000,5.2824,5.2824,5.2824,5.2824,17114094,0
700.HK,D,20070326,000000,5.1185,5.1185,5.1185,5.1185,34819095,0
700.HK,D,20070328,000000,4.8214,4.8214,4.8214,4.8214,30410285,0
700.HK,D,20070330,000000,4.8983,4.8983,4.8983,4.8983,26923152,0
700.HK,D,20070404,000000,4.85,4.85,4.85,4.85,21354677,0
700.HK,D,20070411,000000,5.0041,5.0041,5.0041,5.0041,17480754,0
700.HK,D,20070416,000000,4.8599,4.8599,4.8599,4.8599,16897043,0
700.HK,D,20070418,000000,4.7443,4.7443,4.7443,4.7443,21258461,0
700.HK,D,20070423,000000,4.8016,4.8016,4.8016,4.8016,33113167,0
700.HK,D,20070425,000000,4.8688,4.8688,4.8688,4.8688,11558466,0
700.HK,D,20070430,000000,5.1569,5.1569,5.1569,5.1569,19598499,0
700.HK,D,20070503,000000,5.5895,5.5895,5.5895,5.5895,34829061,0
700.HK,D,20070508,000000,5.7436,5.7436,5.7436,5.7436,8669493,0
700.HK,D,20070510,000000,5.6992,5.6992,5.6992,5.6992,11611510,0
700.HK,D,20070515,000000,5.8245,5.8245,5.8245,5.8245,24138517,0
700.HK,D,20070517,000000,6.1227,6.1227,6.1227,6.1227,36672110,0
700.HK,D,20070522,000000,6.1809,6.1809,6.1809,6.1809,30076185,0
700.HK,D,20070525,000000,6.1711,6.1711,6.1711,6.1711,26415532,0
700.HK,D,20070530,000000,6.0753,6.0753,6.0753,6.0753,33605981,0
700.HK,D,20070601,000000,6.3449,6.3449,6.3449,6.3449,55572514,0
700.HK,D,20070605,000000,6.3262,6.3262,6.3262,6.3262,41342430,0
700.HK,D,20070608,000000,6.1612,6.1612,6.1612,6.1612,16139609,0
700.HK,D,20070612,000000,6.2097,6.2097,6.2097,6.2097,5924259,0
700.HK,D,20070615,000000,6.1523,6.1523,6.1523,6.1523,13394148,0
700.HK,D,20070620,000000,6.3645,6.3645,6.3645,6.3645,25310882,0
700.HK,D,20070625,000000,6.0753,6.0753,6.0753,6.0753,11606223,0
700.HK,D,20070627,000000,5.8146,5.8146,5.8146,5.8146,13874995,0
700.HK,D,20070703,000000,6.1711,6.1711,6.1711,6.1711,31629780,0
700.HK,D,20070705,000000,6.3734,6.3734,6.3734,6.3734,8864100,0
700.HK,D,20070710,000000,6.9817,6.9817,6.9817,6.9817,13967017,0
700.HK,D,20070712,000000,6.8267,6.8267,6.8267,6.8267,11186640,0
700.HK,D,20070717,000000,6.9433,6.9433,6.9433,6.9433,2290763,0
700.HK,D,20070719,000000,6.875,6.875,6.875,6.875,4635666,0
700.HK,D,20070724,000000,6.9135,6.9135,6.9135,6.9135,14559908,0
700.HK,D,20070726,000000,6.7308,6.7308,6.7308,6.7308,12136313,0
700.HK,D,20070731,000000,6.9817,6.9817,6.9817,6.9817,11386646,0
700.HK,D,20070802,000000,6.7597,6.7597,6.7597,6.7597,8795580,0
700.HK,D,20070806,000000,6.3262,6.3262,6.3262,6.3262,14462641,0
700.HK,D,20070809,000000,6.7792,6.7792,6.7792,6.7792,13461989,0
700.HK,D,20070813,000000,6.5571,6.5571,6.5571,6.5571,13725450,0
