<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
941.HK,D,20060208,000000,20.034,20.034,20.034,20.034,53018158,0
941.HK,D,20060213,000000,19.951,19.951,19.951,19.951,25726765,0
941.HK,D,20060215,000000,20.256,20.256,20.256,20.256,28366170,0
941.HK,D,20060220,000000,20.536,20.536,20.536,20.536,33569927,0
941.HK,D,20060222,000000,20.814,20.814,20.814,20.814,28706968,0
941.HK,D,20060227,000000,21.173,21.173,21.173,21.173,30345385,0
941.HK,D,20060301,000000,20.758,20.758,20.758,20.758,15752943,0
941.HK,D,20060306,000000,20.814,20.814,20.814,20.814,25898766,0
941.HK,D,20060308,000000,20.006,20.006,20.006,20.006,45729709,0
941.HK,D,20060313,000000,20.061,20.061,20.061,20.061,25840305,0
941.HK,D,20060315,000000,20.895,20.895,20.895,20.895,65824338,0
941.HK,D,20060320,000000,21.675,21.675,21.675,21.675,49215672,0
941.HK,D,20060322,000000,21.173,21.173,21.173,21.173,37422449,0
941.HK,D,20060327,000000,21.899,21.899,21.899,21.899,34431722,0
941.HK,D,20060329,000000,22.538,22.538,22.538,22.538,60585211,0
941.HK,D,20060403,000000,23.401,23.401,23.401,23.401,33311642,0
941.HK,D,20060406,000000,24.708,24.708,24.708,24.708,42095526,0
941.HK,D,20060410,000000,25.404,25.404,25.404,25.404,24381068,0
941.HK,D,20060413,000000,24.678,24.678,24.678,24.678,28818531,0
941.HK,D,20060419,000000,25.876,25.876,25.876,25.876,31323044,0
941.HK,D,20060424,000000,24.96,24.96,24.96,24.96,18701663,0
941.HK,D,20060426,000000,25.431,25.431,25.431,25.431,23758538,0
941.HK,D,20060502,000000,24.735,24.735,24.735,24.735,42484658,0
941.HK,D,20060504,000000,25.014,25.014,25.014,25.014,16151575,0
941.HK,D,20060510,000000,25.376,25.376,25.376,25.376,22711668,0
941.HK,D,20060512,000000,25.131,25.131,25.131,25.131,29877723,0
941.HK,D,20060517,000000,24.765,24.765,24.765,24.765,47202344,0
941.HK,D,20060519,000000,24.032,24.032,24.032,24.032,26168151,0
941.HK,D,20060524,000000,22.708,22.708,22.708,22.708,45565393,0
941.HK,D,20060526,000000,22.905,22.905,22.905,22.905,38124893,0
941.HK,D,20060601,000000,22.51,22.51,22.51,22.51,33910226,0
941.HK,D,20060605,000000,24.032,24.032,24.032,24.032,26319909,0
941.HK,D,20060608,000000,22.595,22.595,22.595,22.595,40176215,0
941.HK,D,20060612,000000,23.328,23.328,23.328,23.328,37116333,0
941.HK,D,20060614,000000,22.456,22.456,22.456,22.456,33675955,0
941.HK,D,20060619,000000,23.384,23.384,23.384,23.384,14198158,0
941.HK,D,20060621,000000,23.384,23.384,23.384,23.384,28369460,0
941.HK,D,20060626,000000,23.947,23.947,23.947,23.947,14742829,0
941.HK,D,20060628,000000,23.864,23.864,23.864,23.864,15149410,0
941.HK,D,20060703,000000,25.216,25.216,25.216,25.216,15571485,0
941.HK,D,20060705,000000,24.991,24.991,24.991,24.991,16603810,0
941.HK,D,20060710,000000,25.751,25.751,25.751,25.751,24088571,0
941.HK,D,20060712,000000,25.751,25.751,25.751,25.751,13976653,0
941.HK,D,20060717,000000,24.934,24.934,24.934,24.934,16456824,0
941.HK,D,20060719,000000,25.187,25.187,25.187,25.187,15089877,0
941.HK,D,20060724,000000,26.146,26.146,26.146,26.146,17693295,0
941.HK,D,20060726,000000,26.455,26.455,26.455,26.455,17231369,0
941.HK,D,20060731,000000,28.201,28.201,28.201,28.201,38337974,0
941.HK,D,20060802,000000,27.949,27.949,27.949,27.949,39596359,0
941.HK,D,20060807,000000,27.752,27.752,27.752,27.752,20454442,0
941.HK,D,20060809,000000,29.357,29.357,29.357,29.357,41315505,0
941.HK,D,20060811,000000,29.019,29.019,29.019,29.019,24422886,0
941.HK,D,20060816,000000,29.498,29.498,29.498,29.498,24646037,0
941.HK,D,20060818,000000,29.103,29.103,29.103,29.103,18481711,0
941.HK,D,20060823,000000,28.201,28.201,28.201,28.201,17515387,0
941.HK,D,20060825,000000,28.033,28.033,28.033,28.033,20693351,0
941.HK,D,20060830,000000,29.273,29.273,29.273,29.273,33462788,0
941.HK,D,20060901,000000,29.612,29.612,29.612,29.612,23392943,0
941.HK,D,20060906,000000,29.502,29.502,29.502,29.502,21977754,0
941.HK,D,20060908,000000,29.587,29.587,29.587,29.587,22276497,0
941.HK,D,20060913,000000,29.845,29.845,29.845,29.845,29683342,0
941.HK,D,20060915,000000,29.616,29.616,29.616,29.616,11058688,0
941.HK,D,20060920,000000,30.902,30.902,30.902,30.902,36419262,0
941.HK,D,20060922,000000,31.786,31.786,31.786,31.786,21826235,0
941.HK,D,20060927,000000,31.472,31.472,31.472,31.472,21957455,0
941.HK,D,20060929,000000,31.444,31.444,31.444,31.444,27137263,0
941.HK,D,20061004,000000,32.559,32.559,32.559,32.559,52622293,0
941.HK,D,20061009,000000,32.129,32.129,32.129,32.129,26658030,0
941.HK,D,20061011,000000,32.73,32.73,32.73,32.73,30108628,0
941.HK,D,20061016,000000,33.471,33.471,33.471,33.471,15419806,0
941.HK,D,20061018,000000,33.672,33.672,33.672,33.672,22012232,0
941.HK,D,20061023,000000,33.785,33.785,33.785,33.785,24243340,0
941.HK,D,20061025,000000,34.443,34.443,34.443,34.443,25314873,0
941.HK,D,20061031,000000,36.098,36.098,36.098,36.098,34261355,0
941.HK,D,20061102,000000,37.641,37.641,37.641,37.641,29754812,0
941.HK,D,20061107,000000,38.297,38.297,38.297,38.297,47469505,0
941.HK,D,20061109,000000,37.756,37.756,37.756,37.756,38529124,0
941.HK,D,20061114,000000,38.069,38.069,38.069,38.069,37633747,0
941.HK,D,20061116,000000,39.642,39.642,39.642,39.642,32624195,0
941.HK,D,20061121,000000,38.069,38.069,38.069,38.069,25698283,0
941.HK,D,20061123,000000,38.842,38.842,38.842,38.842,20062567,0
941.HK,D,20061128,000000,36.843,36.843,36.843,36.843,32541707,0
941.HK,D,20061130,000000,37.356,37.356,37.356,37.356,34887678,0
941.HK,D,20061204,000000,36.157,36.157,36.157,36.157,27449831,0
941.HK,D,20061207,000000,35.957,35.957,35.957,35.957,75004569,0
941.HK,D,20061211,000000,35.9,35.9,35.9,35.9,23681907,0
941.HK,D,20061214,000000,35.471,35.471,35.471,35.471,37917209,0
941.HK,D,20061218,000000,36.072,36.072,36.072,36.072,25848878,0
941.HK,D,20061221,000000,35.812,35.812,35.812,35.812,25838164,0
941.HK,D,20061227,000000,37.697,37.697,37.697,37.697,42057296,0
941.HK,D,20070102,000000,39.812,39.812,39.812,39.812,45224173,0
941.HK,D,20070104,000000,38.957,38.957,38.957,38.957,47778146,0
941.HK,D,20070109,000000,37.956,37.956,37.956,37.956,22887323,0
941.HK,D,20070111,000000,36.957,36.957,36.957,36.957,30698096,0
941.HK,D,20070116,000000,38.842,38.842,38.842,38.842,31838120,0
941.HK,D,20070118,000000,40.298,40.298,40.298,40.298,35711750,0
941.HK,D,20070123,000000,43.239,43.239,43.239,43.239,55335347,0
941.HK,D,20070125,000000,43.497,43.497,43.497,43.497,44782125,0
941.HK,D,20070130,000000,42.268,42.268,42.268,42.268,33812891,0
941.HK,D,20070201,000000,42.01,42.01,42.01,42.01,44935868,0
941.HK,D,20070205,000000,41.983,41.983,41.983,41.983,26630055,0
941.HK,D,20070208,000000,44.009,44.009,44.009,44.009,38910428,0
941.HK,D,20070212,000000,42.955,42.955,42.955,42.955,25430513,0
941.HK,D,20070215,000000,42.84,42.84,42.84,42.84,43705199,0
941.HK,D,20070221,000000,44.039,44.039,44.039,44.039,38974880,0
941.HK,D,20070226,000000,44.066,44.066,44.066,44.066,29749706,0
941.HK,D,20070228,000000,41.468,41.468,41.468,41.468,73467288,0
941.HK,D,20070305,000000,38.469,38.469,38.469,38.469,71601453,0
941.HK,D,20070307,000000,38.269,38.269,38.269,38.269,57551533,0
941.HK,D,20070312,000000,39.926,39.926,39.926,39.926,78091540,0
941.HK,D,20070314,000000,38.355,38.355,38.355,38.355,56072357,0
941.HK,D,20070319,000000,41.211,41.211,41.211,41.211,47474746,0
941.HK,D,20070321,000000,42.068,42.068,42.068,42.068,44331798,0
941.HK,D,20070326,000000,40.925,40.925,40.925,40.925,31122491,0
941.HK,D,20070328,000000,39.868,39.868,39.868,39.868,44325430,0
941.HK,D,20070330,000000,40.583,40.583,40.583,40.583,26954968,0
941.HK,D,20070404,000000,40.755,40.755,40.755,40.755,33494667,0
941.HK,D,20070411,000000,41.125,41.125,41.125,41.125,29165399,0
941.HK,D,20070416,000000,42.955,42.955,42.955,42.955,64362398,0
941.HK,D,20070418,000000,43.183,43.183,43.183,43.183,35718975,0
941.HK,D,20070423,000000,41.582,41.582,41.582,41.582,61502597,0
941.HK,D,20070425,000000,41.697,41.697,41.697,41.697,29670044,0
941.HK,D,20070430,000000,40.811,40.811,40.811,40.811,35471140,0
941.HK,D,20070503,000000,41.353,41.353,41.353,41.353,27320882,0
941.HK,D,20070508,000000,41.24,41.24,41.24,41.24,22333056,0
941.HK,D,20070510,000000,41.572,41.572,41.572,41.572,33076837,0
941.HK,D,20070515,000000,42.323,42.323,42.323,42.323,39579747,0
941.HK,D,20070517,000000,42.784,42.784,42.784,42.784,29650822,0
941.HK,D,20070522,000000,42.842,42.842,42.842,42.842,23745101,0
