<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
992.HK,D,20060208,000000,1.9153,1.9153,1.9153,1.9153,53791095,0
992.HK,D,20060213,000000,1.9461,1.9461,1.9461,1.9461,24854337,0
992.HK,D,20060215,000000,1.9307,1.9307,1.9307,1.9307,45329759,0
992.HK,D,20060220,000000,2.0719,2.0719,2.0719,2.0719,63655057,0
992.HK,D,20060222,000000,2.0873,2.0873,2.0873,2.0873,31980536,0
992.HK,D,20060227,000000,2.0405,2.0405,2.0405,2.0405,32759246,0
992.HK,D,20060301,000000,1.9937,1.9937,1.9937,1.9937,15010369,0
992.HK,D,20060306,000000,2.0089,2.0089,2.0089,2.0089,17228403,0
992.HK,D,20060308,000000,1.899,1.899,1.899,1.899,41512013,0
992.HK,D,20060313,000000,2.0089,2.0089,2.0089,2.0089,19535623,0
992.HK,D,20060315,000000,1.9461,1.9461,1.9461,1.9461,17918750,0
992.HK,D,20060320,000000,2.0565,2.0565,2.0565,2.0565,91196033,0
992.HK,D,20060322,000000,1.9775,1.9775,1.9775,1.9775,26744682,0
992.HK,D,20060327,000000,2.0089,2.0089,2.0089,2.0089,18802980,0
992.HK,D,20060329,000000,1.9461,1.9461,1.9461,1.9461,20604663,0
992.HK,D,20060403,000000,1.8838,1.8838,1.8838,1.8838,53167617,0
992.HK,D,20060406,000000,1.9153,1.9153,1.9153,1.9153,36048214,0
992.HK,D,20060410,000000,1.899,1.899,1.899,1.899,32010345,0
992.HK,D,20060413,000000,1.9153,1.9153,1.9153,1.9153,54004272,0
992.HK,D,20060419,000000,1.9153,1.9153,1.9153,1.9153,55065348,0
992.HK,D,20060424,000000,1.8207,1.8207,1.8207,1.8207,65959283,0
992.HK,D,20060426,000000,1.7425,1.7425,1.7425,1.7425,44512384,0
992.HK,D,20060502,000000,1.8054,1.8054,1.8054,1.8054,28218504,0
992.HK,D,20060504,000000,1.7893,1.7893,1.7893,1.7893,31273445,0
