<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1299.HK,D,20101028,000000,18.458,18.458,18.458,18.458,0,0
1299.HK,D,20101029,000000,20.635,21.713,20.447,21.621,2360923474,0
1299.HK,D,20101101,000000,21.573,22.135,21.478,21.573,377730628,0
1299.HK,D,20101102,000000,21.573,21.573,21.152,21.197,176765499,0
1299.HK,D,20101103,000000,21.245,21.385,21.057,21.245,193364229,0
1299.HK,D,20101104,000000,21.34,21.478,21.29,21.478,114195446,0
1299.HK,D,20101105,000000,21.76,22.277,21.573,21.621,232589199,0
1299.HK,D,20101108,000000,21.666,22.229,21.666,22.229,161851666,0
1299.HK,D,20101109,000000,22.135,22.464,22.042,22.277,199146290,0
1299.HK,D,20101110,000000,22.182,22.182,21.713,22.135,181436101,0
1299.HK,D,20101111,000000,22.369,23.071,22.088,22.933,649511918,0
1299.HK,D,20101112,000000,22.511,22.511,21.901,21.947,193926477,0
1299.HK,D,20101115,000000,22.369,22.369,21.808,21.996,62005790,0
1299.HK,D,20101116,000000,22.135,22.135,21.526,21.947,70643050,0
1299.HK,D,20101117,000000,21.713,21.855,21.29,21.385,85582166,0
1299.HK,D,20101118,000000,21.713,21.947,21.573,21.855,61878537,0
1299.HK,D,20101119,000000,21.947,21.947,21.573,21.808,36377693,0
1299.HK,D,20101122,000000,21.808,21.855,21.478,21.526,45778995,0
1299.HK,D,20101123,000000,21.385,21.621,21.245,21.34,61416294,0
1299.HK,D,20101124,000000,21.34,21.478,21.104,21.29,76344426,0
1299.HK,D,20101125,000000,21.478,21.478,21.104,21.245,35762651,0
1299.HK,D,20101126,000000,21.152,21.245,21.01,21.152,38761173,0
1299.HK,D,20101129,000000,21.01,21.29,21.01,21.197,31428987,0
1299.HK,D,20101130,000000,21.152,21.245,20.822,21.057,60087906,0
1299.HK,D,20101201,000000,21.29,21.666,21.152,21.478,77619967,0
1299.HK,D,20101202,000000,21.808,21.996,21.197,21.34,161514670,0
1299.HK,D,20101203,000000,21.152,21.34,21.104,21.197,96273282,0
1299.HK,D,20101206,000000,21.385,21.431,21.01,21.057,46909462,0
1299.HK,D,20101207,000000,20.962,21.197,20.822,21.057,35765842,0
1299.HK,D,20101208,000000,21.152,21.29,21.01,21.104,58163770,0
1299.HK,D,20101209,000000,21.104,21.197,20.962,21.01,32025282,0
1299.HK,D,20101210,000000,20.868,21.01,20.774,20.868,39505371,0
1299.HK,D,20101213,000000,20.962,21.104,20.822,20.918,40366231,0
1299.HK,D,20101214,000000,20.868,20.962,20.729,20.729,31302331,0
1299.HK,D,20101215,000000,20.774,20.868,20.587,20.729,63634237,0
1299.HK,D,20101216,000000,20.729,20.774,20.494,20.54,57982404,0
1299.HK,D,20101217,000000,20.635,21.104,20.587,20.962,47215120,0
1299.HK,D,20101220,000000,20.962,20.962,20.635,20.774,23440669,0
1299.HK,D,20101221,000000,20.822,20.918,20.682,20.729,17433134,0
1299.HK,D,20101222,000000,20.682,20.774,20.4,20.494,61213727,0
1299.HK,D,20101223,000000,20.635,20.774,20.494,20.587,41481045,0
1299.HK,D,20101224,000000,20.54,20.635,20.494,20.587,11542836,0
1299.HK,D,20101228,000000,20.494,20.587,20.4,20.54,17009176,0
1299.HK,D,20101229,000000,20.447,20.822,20.447,20.682,26297740,0
1299.HK,D,20101230,000000,20.918,20.918,20.682,20.822,17144376,0
1299.HK,D,20101231,000000,20.918,20.918,20.306,20.494,10231662,0
1299.HK,D,20110103,000000,20.729,20.918,20.635,20.868,14611981,0
1299.HK,D,20110104,000000,21.385,21.385,20.962,21.152,28697780,0
1299.HK,D,20110105,000000,21.197,21.197,20.962,21.057,26370270,0
1299.HK,D,20110106,000000,21.245,21.245,20.822,20.918,28945133,0
1299.HK,D,20110107,000000,20.962,21.057,20.774,20.918,28530931,0
1299.HK,D,20110110,000000,20.918,20.918,20.4,20.447,47937910,0
1299.HK,D,20110111,000000,20.447,20.494,20.26,20.354,41187152,0
