<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
939.HK,D,20060208,000000,1.6457,1.6457,1.6457,1.6457,861937802,0
939.HK,D,20060213,000000,1.7333,1.7333,1.7333,1.7333,1432201274,0
939.HK,D,20060215,000000,1.8465,1.8465,1.8465,1.8465,1260709242,0
939.HK,D,20060220,000000,1.8712,1.8712,1.8712,1.8712,759332547,0
939.HK,D,20060222,000000,1.8969,1.8969,1.8969,1.8969,675972634,0
939.HK,D,20060227,000000,1.8465,1.8465,1.8465,1.8465,738696362,0
939.HK,D,20060301,000000,1.8085,1.8085,1.8085,1.8085,773859555,0
939.HK,D,20060306,000000,1.8341,1.8341,1.8341,1.8341,406061669,0
939.HK,D,20060308,000000,1.7456,1.7456,1.7456,1.7456,1287770698,0
939.HK,D,20060313,000000,1.7333,1.7333,1.7333,1.7333,350775794,0
939.HK,D,20060315,000000,1.7588,1.7588,1.7588,1.7588,358223599,0
939.HK,D,20060320,000000,1.7588,1.7588,1.7588,1.7588,351473917,0
939.HK,D,20060322,000000,1.7836,1.7836,1.7836,1.7836,439725294,0
939.HK,D,20060327,000000,1.8085,1.8085,1.8085,1.8085,413653480,0
939.HK,D,20060329,000000,1.8085,1.8085,1.8085,1.8085,343648378,0
939.HK,D,20060403,000000,1.8085,1.8085,1.8085,1.8085,500016364,0
939.HK,D,20060406,000000,1.8085,1.8085,1.8085,1.8085,736331621,0
939.HK,D,20060410,000000,1.7085,1.7085,1.7085,1.7085,897686713,0
939.HK,D,20060413,000000,1.7209,1.7209,1.7209,1.7209,354316777,0
939.HK,D,20060419,000000,1.7333,1.7333,1.7333,1.7333,375422377,0
939.HK,D,20060424,000000,1.6705,1.6705,1.6705,1.6705,619526347,0
939.HK,D,20060426,000000,1.658,1.658,1.658,1.658,729907457,0
939.HK,D,20060502,000000,1.7209,1.7209,1.7209,1.7209,576922961,0
939.HK,D,20060504,000000,1.7333,1.7333,1.7333,1.7333,300107991,0
939.HK,D,20060510,000000,1.8216,1.8216,1.8216,1.8216,757234537,0
939.HK,D,20060512,000000,1.8038,1.8038,1.8038,1.8038,449999938,0
939.HK,D,20060517,000000,1.7658,1.7658,1.7658,1.7658,317267386,0
939.HK,D,20060519,000000,1.7533,1.7533,1.7533,1.7533,236675990,0
939.HK,D,20060524,000000,1.7022,1.7022,1.7022,1.7022,417176422,0
939.HK,D,20060526,000000,1.6651,1.6651,1.6651,1.6651,480835364,0
939.HK,D,20060601,000000,1.6899,1.6899,1.6899,1.6899,511582190,0
939.HK,D,20060605,000000,1.7783,1.7783,1.7783,1.7783,564248894,0
939.HK,D,20060608,000000,1.7279,1.7279,1.7279,1.7279,582092498,0
939.HK,D,20060612,000000,1.6775,1.6775,1.6775,1.6775,253563697,0
939.HK,D,20060614,000000,1.6271,1.6271,1.6271,1.6271,449545247,0
939.HK,D,20060619,000000,1.6651,1.6651,1.6651,1.6651,229109414,0
939.HK,D,20060621,000000,1.6519,1.6519,1.6519,1.6519,230268061,0
939.HK,D,20060626,000000,1.6899,1.6899,1.6899,1.6899,222621333,0
939.HK,D,20060628,000000,1.7403,1.7403,1.7403,1.7403,393592289,0
939.HK,D,20060703,000000,1.8038,1.8038,1.8038,1.8038,466366952,0
939.HK,D,20060705,000000,1.7533,1.7533,1.7533,1.7533,404211750,0
939.HK,D,20060710,000000,1.7783,1.7783,1.7783,1.7783,209245059,0
939.HK,D,20060712,000000,1.7783,1.7783,1.7783,1.7783,170493068,0
939.HK,D,20060717,000000,1.7022,1.7022,1.7022,1.7022,364746277,0
939.HK,D,20060719,000000,1.7022,1.7022,1.7022,1.7022,334225881,0
939.HK,D,20060724,000000,1.7156,1.7156,1.7156,1.7156,326980017,0
939.HK,D,20060726,000000,1.7,1.7,1.7,1.7,155829163,0
939.HK,D,20060731,000000,1.7156,1.7156,1.7156,1.7156,256485815,0
939.HK,D,20060802,000000,1.71,1.71,1.71,1.71,290662302,0
939.HK,D,20060807,000000,1.7658,1.7658,1.7658,1.7658,305464212,0
939.HK,D,20060809,000000,1.7806,1.7806,1.7806,1.7806,310627322,0
939.HK,D,20060811,000000,1.7705,1.7705,1.7705,1.7705,319122178,0
939.HK,D,20060816,000000,1.7558,1.7558,1.7558,1.7558,197192495,0
939.HK,D,20060818,000000,1.7456,1.7456,1.7456,1.7456,159157823,0
939.HK,D,20060823,000000,1.7156,1.7156,1.7156,1.7156,213807855,0
939.HK,D,20060825,000000,1.7,1.7,1.7,1.7,316975187,0
939.HK,D,20060830,000000,1.7054,1.7054,1.7054,1.7054,225900695,0
939.HK,D,20060901,000000,1.7,1.7,1.7,1.7,183347462,0
939.HK,D,20060906,000000,1.71,1.71,1.71,1.71,175623328,0
939.HK,D,20060908,000000,1.7255,1.7255,1.7255,1.7255,679512428,0
939.HK,D,20060913,000000,1.6899,1.6899,1.6899,1.6899,322651288,0
939.HK,D,20060915,000000,1.6751,1.6751,1.6751,1.6751,344159453,0
939.HK,D,20060920,000000,1.6596,1.6596,1.6596,1.6596,781734992,0
939.HK,D,20060922,000000,1.6899,1.6899,1.6899,1.6899,549915336,0
939.HK,D,20060927,000000,1.6798,1.6798,1.6798,1.6798,355607044,0
939.HK,D,20060929,000000,1.7,1.7,1.7,1.7,365068751,0
939.HK,D,20061004,000000,1.7603,1.7603,1.7603,1.7603,754660088,0
939.HK,D,20061009,000000,1.7357,1.7357,1.7357,1.7357,398264791,0
939.HK,D,20061011,000000,1.7705,1.7705,1.7705,1.7705,608886244,0
939.HK,D,20061016,000000,1.8364,1.8364,1.8364,1.8364,693341334,0
939.HK,D,20061018,000000,1.8364,1.8364,1.8364,1.8364,272708761,0
939.HK,D,20061023,000000,1.8161,1.8161,1.8161,1.8161,480750211,0
939.HK,D,20061025,000000,1.8161,1.8161,1.8161,1.8161,374254646,0
939.HK,D,20061031,000000,1.7658,1.7658,1.7658,1.7658,411409510,0
939.HK,D,20061102,000000,1.8161,1.8161,1.8161,1.8161,409856278,0
939.HK,D,20061107,000000,1.8108,1.8108,1.8108,1.8108,428720843,0
939.HK,D,20061109,000000,1.8512,1.8512,1.8512,1.8512,694220420,0
