<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
2331.HK,D,20060201,000000,5.1726,5.1726,5.1726,5.1726,3693076,0
2331.HK,D,20060206,000000,5.6464,5.6464,5.6464,5.6464,2897429,0
2331.HK,D,20060208,000000,5.8041,5.8041,5.8041,5.8041,4339533,0
2331.HK,D,20060213,000000,6.0414,6.0414,6.0414,6.0414,14622435,0
2331.HK,D,20060215,000000,5.9617,5.9617,5.9617,5.9617,9430654,0
2331.HK,D,20060220,000000,5.8041,5.8041,5.8041,5.8041,2316298,0
2331.HK,D,20060222,000000,6.0021,6.0021,6.0021,6.0021,2927693,0
2331.HK,D,20060227,000000,5.5676,5.5676,5.5676,5.5676,1582533,0
2331.HK,D,20060301,000000,5.4091,5.4091,5.4091,5.4091,2181398,0
2331.HK,D,20060306,000000,5.6858,5.6858,5.6858,5.6858,747115,0
2331.HK,D,20060308,000000,5.2121,5.2121,5.2121,5.2121,6589826,0
2331.HK,D,20060313,000000,5.4091,5.4091,5.4091,5.4091,223688,0
2331.HK,D,20060315,000000,5.2515,5.2515,5.2515,5.2515,1930588,0
2331.HK,D,20060320,000000,5.7253,5.7253,5.7253,5.7253,1574758,0
2331.HK,D,20060322,000000,5.7646,5.7646,5.7646,5.7646,1055803,0
2331.HK,D,20060327,000000,5.7646,5.7646,5.7646,5.7646,1279939,0
2331.HK,D,20060329,000000,5.8041,5.8041,5.8041,5.8041,1469625,0
2331.HK,D,20060403,000000,6.1597,6.1597,6.1597,6.1597,1675418,0
2331.HK,D,20060406,000000,7.2255,7.2255,7.2255,7.2255,6422061,0
2331.HK,D,20060411,000000,6.6336,6.6336,6.6336,6.6336,2245037,0
2331.HK,D,20060413,000000,6.2385,6.2385,6.2385,6.2385,3041699,0
2331.HK,D,20060419,000000,6.6336,6.6336,6.6336,6.6336,3521284,0
2331.HK,D,20060424,000000,6.5153,6.5153,6.5153,6.5153,1004356,0
2331.HK,D,20060426,000000,6.7517,6.7517,6.7517,6.7517,1035673,0
2331.HK,D,20060502,000000,6.9496,6.9496,6.9496,6.9496,1143042,0
2331.HK,D,20060504,000000,6.9083,6.9083,6.9083,6.9083,976394,0
2331.HK,D,20060510,000000,6.7892,6.7892,6.7892,6.7892,677773,0
2331.HK,D,20060512,000000,6.7104,6.7104,6.7104,6.7104,986460,0
2331.HK,D,20060517,000000,6.5508,6.5508,6.5508,6.5508,4149399,0
2331.HK,D,20060519,000000,6.3133,6.3133,6.3133,6.3133,3245702,0
2331.HK,D,20060524,000000,6.1144,6.1144,6.1144,6.1144,920697,0
2331.HK,D,20060526,000000,5.7971,5.7971,5.7971,5.7971,5082174,0
2331.HK,D,20060601,000000,5.9951,5.9951,5.9951,5.9951,3850490,0
2331.HK,D,20060605,000000,6.1144,6.1144,6.1144,6.1144,767248,0
2331.HK,D,20060608,000000,5.2406,5.2406,5.2406,5.2406,3243017,0
2331.HK,D,20060612,000000,5.3598,5.3598,5.3598,5.3598,780668,0
2331.HK,D,20060615,000000,5.2406,5.2406,5.2406,5.2406,2406746,0
2331.HK,D,20060619,000000,5.5982,5.5982,5.5982,5.5982,3558416,0
2331.HK,D,20060622,000000,5.7174,5.7174,5.7174,5.7174,433954,0
2331.HK,D,20060626,000000,5.7971,5.7971,5.7971,5.7971,317636,0
2331.HK,D,20060628,000000,5.5588,5.5588,5.5588,5.5588,1563574,0
2331.HK,D,20060703,000000,5.7971,5.7971,5.7971,5.7971,1887642,0
2331.HK,D,20060705,000000,5.7174,5.7174,5.7174,5.7174,278490,0
2331.HK,D,20060710,000000,6.1537,6.1537,6.1537,6.1537,3457086,0
2331.HK,D,20060712,000000,6.5911,6.5911,6.5911,6.5911,1380151,0
2331.HK,D,20060717,000000,6.3528,6.3528,6.3528,6.3528,355663,0
2331.HK,D,20060719,000000,6.3133,6.3133,6.3133,6.3133,637844,0
2331.HK,D,20060724,000000,6.3449,6.3449,6.3449,6.3449,342241,0
2331.HK,D,20060726,000000,6.273,6.273,6.273,6.273,964091,0
2331.HK,D,20060731,000000,6.138,6.138,6.138,6.138,595009,0
2331.HK,D,20060802,000000,6.273,6.273,6.273,6.273,585228,0
2331.HK,D,20060807,000000,6.265,6.265,6.265,6.265,532375,0
2331.HK,D,20060809,000000,6.0749,6.0749,6.0749,6.0749,1364492,0
2331.HK,D,20060814,000000,6.1459,6.1459,6.1459,6.1459,319873,0
2331.HK,D,20060816,000000,6.3922,6.3922,6.3922,6.3922,1525547,0
2331.HK,D,20060821,000000,6.3528,6.3528,6.3528,6.3528,702377,0
2331.HK,D,20060823,000000,6.4482,6.4482,6.4482,6.4482,469743,0
2331.HK,D,20060828,000000,6.4001,6.4001,6.4001,6.4001,723628,0
2331.HK,D,20060830,000000,6.7104,6.7104,6.7104,6.7104,1230280,0
2331.HK,D,20060901,000000,6.9644,6.9644,6.9644,6.9644,5296914,0
2331.HK,D,20060906,000000,7.4009,7.4009,7.4009,7.4009,5000528,0
2331.HK,D,20060908,000000,7.258,7.258,7.258,7.258,6925356,0
2331.HK,D,20060913,000000,7.0669,7.0669,7.0669,7.0669,5929949,0
2331.HK,D,20060915,000000,7.5339,7.5339,7.5339,7.5339,4672827,0
2331.HK,D,20060920,000000,7.5102,7.5102,7.5102,7.5102,1005475,0
2331.HK,D,20060922,000000,7.1831,7.1831,7.1831,7.1831,4050976,0
2331.HK,D,20060927,000000,7.2866,7.2866,7.2866,7.2866,3225570,0
2331.HK,D,20060929,000000,7.0954,7.0954,7.0954,7.0954,2805038,0
2331.HK,D,20061005,000000,7.2146,7.2146,7.2146,7.2146,2480692,0
2331.HK,D,20061009,000000,7.0552,7.0552,7.0552,7.0552,1863315,0
2331.HK,D,20061012,000000,7.1516,7.1516,7.1516,7.1516,2789380,0
2331.HK,D,20061016,000000,7.2394,7.2394,7.2394,7.2394,1275017,0
2331.HK,D,20061019,000000,7.1911,7.1911,7.1911,7.1911,2598128,0
2331.HK,D,20061023,000000,7.2944,7.2944,7.2944,7.2944,3702024,0
2331.HK,D,20061026,000000,7.2394,7.2394,7.2394,7.2394,3075699,0
2331.HK,D,20061031,000000,7.3349,7.3349,7.3349,7.3349,4330585,0
2331.HK,D,20061103,000000,8.0846,8.0846,8.0846,8.0846,4559864,0
2331.HK,D,20061107,000000,8.2116,8.2116,8.2116,8.2116,3561100,0
2331.HK,D,20061110,000000,7.8293,7.8293,7.8293,7.8293,2037791,0
2331.HK,D,20061114,000000,7.925,7.925,7.925,7.925,3227808,0
2331.HK,D,20061116,000000,7.8846,7.8846,7.8846,7.8846,4728748,0
2331.HK,D,20061121,000000,7.6057,7.6057,7.6057,7.6057,7754007,0
2331.HK,D,20061123,000000,8.0048,8.0048,8.0048,8.0048,4877500,0
