<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
2020.HK,D,20070709,000000,3.602,3.602,3.602,3.602,0,0
2020.HK,D,20070712,000000,4.9529,4.9529,4.9529,4.9529,35607516,0
2020.HK,D,20070716,000000,4.9195,4.9195,4.9195,4.9195,17904532,0
2020.HK,D,20070718,000000,5.0345,5.0345,5.0345,5.0345,14442744,0
2020.HK,D,20070720,000000,5.3081,5.3081,5.3081,5.3081,33912500,0
2020.HK,D,20070724,000000,5.6485,5.6485,5.6485,5.6485,32705488,0
2020.HK,D,20070726,000000,5.7311,5.7311,5.7311,5.7311,21648873,0
2020.HK,D,20070730,000000,5.6013,5.6013,5.6013,5.6013,12431502,0
2020.HK,D,20070801,000000,5.6426,5.6426,5.6426,5.6426,23818840,0
2020.HK,D,20070806,000000,5.5462,5.5462,5.5462,5.5462,10028612,0
2020.HK,D,20070808,000000,5.3828,5.3828,5.3828,5.3828,7118718,0
2020.HK,D,20070810,000000,5.1852,5.1852,5.1852,5.1852,4563541,0
2020.HK,D,20070814,000000,5.2874,5.2874,5.2874,5.2874,6016964,0
2020.HK,D,20070816,000000,4.8231,4.8231,4.8231,4.8231,8136113,0
2020.HK,D,20070820,000000,4.7079,4.7079,4.7079,4.7079,9067523,0
2020.HK,D,20070822,000000,4.7414,4.7414,4.7414,4.7414,4853210,0
2020.HK,D,20070824,000000,5.2322,5.2322,5.2322,5.2322,9596243,0
2020.HK,D,20070829,000000,5.3898,5.3898,5.3898,5.3898,6680658,0
2020.HK,D,20070831,000000,5.4104,5.4104,5.4104,5.4104,7058956,0
2020.HK,D,20070904,000000,5.5059,5.5059,5.5059,5.5059,4965640,0
2020.HK,D,20070906,000000,5.5334,5.5334,5.5334,5.5334,4849145,0
2020.HK,D,20070910,000000,5.8669,5.8669,5.8669,5.8669,31184031,0
2020.HK,D,20070912,000000,6.1336,6.1336,6.1336,6.1336,13327777,0
2020.HK,D,20070914,000000,5.983,5.983,5.983,5.983,7762086,0
2020.HK,D,20070918,000000,5.9624,5.9624,5.9624,5.9624,7619793,0
2020.HK,D,20070921,000000,5.7645,5.7645,5.7645,5.7645,8741164,0
2020.HK,D,20070925,000000,5.7645,5.7645,5.7645,5.7645,14401074,0
2020.HK,D,20070928,000000,5.7715,5.7715,5.7715,5.7715,5558069,0
2020.HK,D,20071003,000000,5.6622,5.6622,5.6622,5.6622,9629073,0
2020.HK,D,20071005,000000,5.676,5.676,5.676,5.676,4812046,0
2020.HK,D,20071009,000000,5.5944,5.5944,5.5944,5.5944,5381726,0
2020.HK,D,20071011,000000,5.7035,5.7035,5.7035,5.7035,8387159,0
2020.HK,D,20071015,000000,5.5738,5.5738,5.5738,5.5738,5745159,0
2020.HK,D,20071017,000000,5.7105,5.7105,5.7105,5.7105,11754422,0
2020.HK,D,20071023,000000,5.7035,5.7035,5.7035,5.7035,5090026,0
2020.HK,D,20071025,000000,5.6288,5.6288,5.6288,5.6288,4740392,0
2020.HK,D,20071029,000000,5.922,5.922,5.922,5.922,13311516,0
2020.HK,D,20071031,000000,6.4129,6.4129,6.4129,6.4129,37431204,0
2020.HK,D,20071102,000000,6.5015,6.5015,6.5015,6.5015,9393374,0
2020.HK,D,20071106,000000,7.082,7.082,7.082,7.082,17409556,0
2020.HK,D,20071108,000000,6.6519,6.6519,6.6519,6.6519,5747623,0
2020.HK,D,20071112,000000,6.4267,6.4267,6.4267,6.4267,5867557,0
2020.HK,D,20071115,000000,6.8154,6.8154,6.8154,6.8154,2745850,0
2020.HK,D,20071119,000000,6.4129,6.4129,6.4129,6.4129,3854618,0
2020.HK,D,20071121,000000,6.1405,6.1405,6.1405,6.1405,3538015,0
2020.HK,D,20071123,000000,5.6691,5.6691,5.6691,5.6691,9069150,0
2020.HK,D,20071127,000000,5.8669,5.8669,5.8669,5.8669,2613110,0
2020.HK,D,20071129,000000,5.9014,5.9014,5.9014,5.9014,5011764,0
2020.HK,D,20071203,000000,5.9426,5.9426,5.9426,5.9426,6293418,0
2020.HK,D,20071205,000000,6.4808,6.4808,6.4808,6.4808,5983424,0
2020.HK,D,20071210,000000,6.4405,6.4405,6.4405,6.4405,1918924,0
2020.HK,D,20071212,000000,6.4877,6.4877,6.4877,6.4877,2553145,0
2020.HK,D,20071214,000000,6.6796,6.6796,6.6796,6.6796,7405337,0
2020.HK,D,20071218,000000,6.8016,6.8016,6.8016,6.8016,9006947,0
2020.HK,D,20071220,000000,6.9452,6.9452,6.9452,6.9452,6467220,0
2020.HK,D,20071224,000000,6.8774,6.8774,6.8774,6.8774,1442242,0
2020.HK,D,20071228,000000,7.1223,7.1223,7.1223,7.1223,5417809,0
2020.HK,D,20080102,000000,7.3683,7.3683,7.3683,7.3683,14224224,0
2020.HK,D,20080107,000000,8.0365,8.0365,8.0365,8.0365,12092877,0
2020.HK,D,20080109,000000,7.6409,7.6409,7.6409,7.6409,7354519,0
2020.HK,D,20080111,000000,7.3683,7.3683,7.3683,7.3683,6789615,0
2020.HK,D,20080115,000000,6.9039,6.9039,6.9039,6.9039,9216525,0
