<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
2628.HK,D,20060208,000000,6.4731,6.4731,6.4731,6.4731,117432046,0
2628.HK,D,20060213,000000,6.7148,6.7148,6.7148,6.7148,54131122,0
2628.HK,D,20060215,000000,6.7953,6.7953,6.7953,6.7953,180358635,0
2628.HK,D,20060220,000000,7.0762,7.0762,7.0762,7.0762,104416267,0
2628.HK,D,20060222,000000,7.5596,7.5596,7.5596,7.5596,204130000,0
2628.HK,D,20060227,000000,7.2373,7.2373,7.2373,7.2373,147870002,0
2628.HK,D,20060301,000000,7.1166,7.1166,7.1166,7.1166,166153474,0
2628.HK,D,20060306,000000,7.3179,7.3179,7.3179,7.3179,56633123,0
2628.HK,D,20060308,000000,6.8356,6.8356,6.8356,6.8356,148678522,0
2628.HK,D,20060313,000000,6.9967,6.9967,6.9967,6.9967,101969932,0
2628.HK,D,20060315,000000,7.1166,7.1166,7.1166,7.1166,79842624,0
2628.HK,D,20060320,000000,7.3582,7.3582,7.3582,7.3582,78812435,0
2628.HK,D,20060322,000000,7.5596,7.5596,7.5596,7.5596,171487469,0
2628.HK,D,20060327,000000,8.0419,8.0419,8.0419,8.0419,95670146,0
2628.HK,D,20060329,000000,7.9211,7.9211,7.9211,7.9211,98882279,0
2628.HK,D,20060403,000000,8.0419,8.0419,8.0419,8.0419,92009783,0
2628.HK,D,20060406,000000,8.2424,8.2424,8.2424,8.2424,91468521,0
2628.HK,D,20060410,000000,8.484,8.484,8.484,8.484,93048449,0
2628.HK,D,20060413,000000,8.0419,8.0419,8.0419,8.0419,79749628,0
2628.HK,D,20060419,000000,8.4035,8.4035,8.4035,8.4035,163280418,0
2628.HK,D,20060424,000000,8.5646,8.5646,8.5646,8.5646,122336522,0
2628.HK,D,20060426,000000,8.3633,8.3633,8.3633,8.3633,123872461,0
2628.HK,D,20060502,000000,8.6451,8.6451,8.6451,8.6451,75192688,0
2628.HK,D,20060504,000000,8.8057,8.8057,8.8057,8.8057,52170568,0
2628.HK,D,20060510,000000,9.4894,9.4894,9.4894,9.4894,93751108,0
2628.HK,D,20060512,000000,10.052,10.052,10.052,10.052,121649614,0
2628.HK,D,20060517,000000,10.334,10.334,10.334,10.334,133050538,0
2628.HK,D,20060519,000000,10.374,10.374,10.374,10.374,133081050,0
2628.HK,D,20060524,000000,9.3648,9.3648,9.3648,9.3648,163646142,0
2628.HK,D,20060526,000000,9.0413,9.0413,9.0413,9.0413,126252151,0
2628.HK,D,20060601,000000,9.1214,9.1214,9.1214,9.1214,85932409,0
2628.HK,D,20060605,000000,9.849,9.849,9.849,9.849,112551700,0
2628.HK,D,20060608,000000,9.2431,9.2431,9.2431,9.2431,299690640,0
2628.HK,D,20060612,000000,9.0015,9.0015,9.0015,9.0015,120584132,0
2628.HK,D,20060614,000000,8.2341,8.2341,8.2341,8.2341,206365056,0
2628.HK,D,20060619,000000,8.84,8.84,8.84,8.84,72192786,0
2628.HK,D,20060621,000000,8.6781,8.6781,8.6781,8.6781,72645942,0
2628.HK,D,20060626,000000,9.0015,9.0015,9.0015,9.0015,75806660,0
2628.HK,D,20060628,000000,9.4856,9.4856,9.4856,9.4856,113752515,0
2628.HK,D,20060703,000000,9.929,9.929,9.929,9.929,65486938,0
2628.HK,D,20060705,000000,9.688,9.688,9.688,9.688,82429743,0
2628.HK,D,20060710,000000,10.091,10.091,10.091,10.091,83349666,0
2628.HK,D,20060712,000000,10.132,10.132,10.132,10.132,52877325,0
2628.HK,D,20060717,000000,9.768,9.768,9.768,9.768,73576191,0
2628.HK,D,20060719,000000,10.132,10.132,10.132,10.132,122937518,0
2628.HK,D,20060724,000000,10.139,10.139,10.139,10.139,62247599,0
2628.HK,D,20060726,000000,10.286,10.286,10.286,10.286,75904844,0
2628.HK,D,20060731,000000,10.575,10.575,10.575,10.575,75774568,0
2628.HK,D,20060802,000000,10.414,10.414,10.414,10.414,46811668,0
2628.HK,D,20060807,000000,10.511,10.511,10.511,10.511,36634664,0
2628.HK,D,20060809,000000,10.705,10.705,10.705,10.705,60372382,0
2628.HK,D,20060811,000000,10.867,10.867,10.867,10.867,57596913,0
2628.HK,D,20060816,000000,11.254,11.254,11.254,11.254,71042448,0
2628.HK,D,20060818,000000,11.205,11.205,11.205,11.205,52714416,0
2628.HK,D,20060823,000000,11.303,11.303,11.303,11.303,87978550,0
2628.HK,D,20060825,000000,11.059,11.059,11.059,11.059,91946443,0
2628.HK,D,20060830,000000,11.173,11.173,11.173,11.173,93011194,0
2628.HK,D,20060901,000000,11.125,11.125,11.125,11.125,72152141,0
2628.HK,D,20060906,000000,11.511,11.511,11.511,11.511,94885370,0
2628.HK,D,20060908,000000,11.544,11.544,11.544,11.544,55152645,0
2628.HK,D,20060913,000000,11.511,11.511,11.511,11.511,49931317,0
2628.HK,D,20060915,000000,11.577,11.577,11.577,11.577,38438444,0
2628.HK,D,20060920,000000,12.4,12.4,12.4,12.4,112831322,0
2628.HK,D,20060922,000000,12.916,12.916,12.916,12.916,108225862,0
