<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
2318.HK,D,20060208,000000,7.1829,7.1829,7.1829,7.1829,21958746,0
2318.HK,D,20060213,000000,7.5061,7.5061,7.5061,7.5061,15736349,0
2318.HK,D,20060215,000000,7.7428,7.7428,7.7428,7.7428,24333670,0
2318.HK,D,20060220,000000,7.8075,7.8075,7.8075,7.8075,14677028,0
2318.HK,D,20060222,000000,8.1944,8.1944,8.1944,8.1944,23541728,0
2318.HK,D,20060227,000000,8.0651,8.0651,8.0651,8.0651,20114914,0
2318.HK,D,20060301,000000,7.893,7.893,7.893,7.893,20880634,0
2318.HK,D,20060306,000000,7.6135,7.6135,7.6135,7.6135,28879690,0
2318.HK,D,20060308,000000,7.3767,7.3767,7.3767,7.3767,38890866,0
2318.HK,D,20060313,000000,7.6782,7.6782,7.6782,7.6782,17601484,0
2318.HK,D,20060315,000000,7.9577,7.9577,7.9577,7.9577,24059767,0
2318.HK,D,20060320,000000,8.0223,8.0223,8.0223,8.0223,7655111,0
2318.HK,D,20060322,000000,8.3874,8.3874,8.3874,8.3874,26439019,0
2318.HK,D,20060327,000000,8.818,8.818,8.818,8.818,22241126,0
2318.HK,D,20060329,000000,8.4312,8.4312,8.4312,8.4312,18345760,0
2318.HK,D,20060403,000000,8.6459,8.6459,8.6459,8.6459,13886759,0
2318.HK,D,20060406,000000,9.4839,9.4839,9.4839,9.4839,29972105,0
2318.HK,D,20060410,000000,9.872,9.872,9.872,9.872,14425338,0
2318.HK,D,20060413,000000,9.3347,9.3347,9.3347,9.3347,13728892,0
2318.HK,D,20060419,000000,9.936,9.936,9.936,9.936,20419615,0
2318.HK,D,20060424,000000,9.259,9.259,9.259,9.259,40199324,0
2318.HK,D,20060426,000000,9.3025,9.3025,9.3025,9.3025,22328773,0
2318.HK,D,20060502,000000,9.54,9.54,9.54,9.54,17900770,0
2318.HK,D,20060504,000000,9.802,9.802,9.802,9.802,8349654,0
2318.HK,D,20060510,000000,10.299,10.299,10.299,10.299,9211798,0
2318.HK,D,20060512,000000,10.299,10.299,10.299,10.299,9416060,0
2318.HK,D,20060517,000000,10.127,10.127,10.127,10.127,19509758,0
2318.HK,D,20060519,000000,10.062,10.062,10.062,10.062,41128077,0
2318.HK,D,20060524,000000,9.3668,9.3668,9.3668,9.3668,12110390,0
2318.HK,D,20060526,000000,9.3884,9.3884,9.3884,9.3884,14233164,0
2318.HK,D,20060601,000000,9.0634,9.0634,9.0634,9.0634,34918160,0
2318.HK,D,20060605,000000,9.4977,9.4977,9.4977,9.4977,27422535,0
2318.HK,D,20060608,000000,8.9122,8.9122,8.9122,8.9122,26542767,0
2318.HK,D,20060612,000000,8.6299,8.6299,8.6299,8.6299,22794518,0
2318.HK,D,20060614,000000,8.2401,8.2401,8.2401,8.2401,23580555,0
2318.HK,D,20060619,000000,9.0206,9.0206,9.0206,9.0206,11244956,0
2318.HK,D,20060621,000000,8.7163,8.7163,8.7163,8.7163,14489806,0
2318.HK,D,20060626,000000,9.324,9.324,9.324,9.324,14117674,0
2318.HK,D,20060628,000000,9.519,9.519,9.519,9.519,12328326,0
2318.HK,D,20060703,000000,10.257,10.257,10.257,10.257,11156604,0
2318.HK,D,20060705,000000,10.018,10.018,10.018,10.018,11356449,0
2318.HK,D,20060710,000000,10.235,10.235,10.235,10.235,12933553,0
2318.HK,D,20060712,000000,10.365,10.365,10.365,10.365,19792885,0
2318.HK,D,20060717,000000,10.018,10.018,10.018,10.018,13032199,0
2318.HK,D,20060719,000000,10.278,10.278,10.278,10.278,28726545,0
2318.HK,D,20060724,000000,10.691,10.691,10.691,10.691,11604677,0
2318.HK,D,20060726,000000,10.884,10.884,10.884,10.884,9903891,0
2318.HK,D,20060731,000000,11.276,11.276,11.276,11.276,21649721,0
2318.HK,D,20060802,000000,10.863,10.863,10.863,10.863,14012281,0
2318.HK,D,20060807,000000,11.038,11.038,11.038,11.038,10269162,0
2318.HK,D,20060809,000000,11.188,11.188,11.188,11.188,12305185,0
2318.HK,D,20060811,000000,11.059,11.059,11.059,11.059,7134890,0
2318.HK,D,20060816,000000,11.557,11.557,11.557,11.557,23349245,0
2318.HK,D,20060818,000000,10.994,10.994,10.994,10.994,29925593,0
2318.HK,D,20060823,000000,11.145,11.145,11.145,11.145,10025902,0
2318.HK,D,20060825,000000,11.124,11.124,11.124,11.124,9009848,0
2318.HK,D,20060830,000000,11.131,11.131,11.131,11.131,11385248,0
2318.HK,D,20060901,000000,11.044,11.044,11.044,11.044,9221576,0
2318.HK,D,20060906,000000,11.371,11.371,11.371,11.371,24615546,0
2318.HK,D,20060908,000000,11.284,11.284,11.284,11.284,14840061,0
2318.HK,D,20060913,000000,11.437,11.437,11.437,11.437,13971447,0
